2026-04-15 08:00:00 INFO User login successful | user=user0 | ip=192.168.1.0
2026-04-15 08:42:45 WARN Failed login attempt | user=admin | ip=185.234.217.10
2026-04-15 08:42:50 WARN Failed login attempt | user=admin | ip=185.234.217.10
2026-04-15 08:42:55 WARN Failed login attempt | user=admin | ip=185.234.217.10
2026-04-15 08:43:00 WARN Failed login attempt | user=admin | ip=185.234.217.10
2026-04-15 08:43:05 WARN Failed login attempt | user=admin | ip=185.234.217.10
2026-04-15 08:43:10 WARN Failed login attempt | user=admin | ip=185.234.217.10
2026-04-15 08:43:15 WARN Failed login attempt | user=admin | ip=185.234.217.10
2026-04-15 08:43:20 WARN Failed login attempt | user=admin | ip=185.234.217.10
2026-04-15 08:43:25 WARN Failed login attempt | user=admin | ip=185.234.217.10
2026-04-15 08:43:30 WARN Failed login attempt | user=admin | ip=185.234.217.10
2026-04-15 08:43:35 WARN Failed login attempt | user=admin | ip=185.234.217.10
2026-04-15 08:43:40 WARN Failed login attempt | user=admin | ip=185.234.217.10
2026-04-15 08:43:45 WARN Failed login attempt | user=admin | ip=185.234.217.10
2026-04-15 08:43:50 WARN Failed login attempt | user=admin | ip=185.234.217.10
2026-04-15 08:43:55 WARN Failed login attempt | user=admin | ip=185.234.217.10
2026-04-15 08:44:00 WARN Failed login attempt | user=admin | ip=185.234.217.10
2026-04-15 08:44:05 WARN Failed login attempt | user=admin | ip=185.234.217.10
2026-04-15 08:44:10 ERROR Multiple failed logins | user=admin | attempts=30 | ip=185.234.217.10
2026-04-15 08:44:20 INFO User login successful | user=admin | ip=185.234.217.10
2026-04-15 08:44:35 ERROR Privilege escalation detected | user=admin | method=sudo_exploit
2026-04-15 08:44:45 INFO Sensitive file accessed | user=admin | file=/secure/db_dump_0.sql
2026-04-15 08:44:53 INFO Sensitive file accessed | user=admin | file=/secure/db_dump_1.sql
2026-04-15 08:45:01 INFO Sensitive file accessed | user=admin | file=/secure/db_dump_2.sql
2026-04-15 08:45:09 INFO Sensitive file accessed | user=admin | file=/secure/db_dump_3.sql
2026-04-15 08:45:17 INFO Sensitive file accessed | user=admin | file=/secure/db_dump_4.sql
2026-04-15 08:45:25 INFO Sensitive file accessed | user=admin | file=/secure/db_dump_5.sql
2026-04-15 08:45:33 INFO Sensitive file accessed | user=admin | file=/secure/db_dump_6.sql
2026-04-15 08:45:41 INFO Sensitive file accessed | user=admin | file=/secure/db_dump_7.sql
2026-04-15 08:45:49 INFO Sensitive file accessed | user=admin | file=/secure/db_dump_8.sql
2026-04-15 08:45:57 INFO Sensitive file accessed | user=admin | file=/secure/db_dump_9.sql
2026-04-15 08:46:05 WARN New connection to internal host | source_ip=185.234.217.10 | dest_ip=192.168.1.100
2026-04-15 08:46:17 WARN New connection to internal host | source_ip=185.234.217.10 | dest_ip=192.168.1.101
2026-04-15 08:46:29 WARN New connection to internal host | source_ip=185.234.217.10 | dest_ip=192.168.1.102
2026-04-15 08:46:41 WARN New connection to internal host | source_ip=185.234.217.10 | dest_ip=192.168.1.103
2026-04-15 08:46:53 WARN New connection to internal host | source_ip=185.234.217.10 | dest_ip=192.168.1.104
2026-04-15 08:47:05 ERROR Large data transfer detected | user=admin | size=2GB | destination=external_ip
2026-04-15 08:47:25 INFO Intrusion prevention triggered | action=blocked_ip | ip=185.234.217.10
2026-04-15 08:47:35 INFO Security alert generated | severity=high | source_ip=185.234.217.10
